match,team,Alliance Color,Scouter Name,Auton Cones Lower,Auton Cubes Lower,Auton Cones Mid,Auton Cubes Mid,Auton Cones Upper,Auton Cubes Upper,Auton Charge Station,Teleop Cones Lower,Teleop Cubes Lower,Teleop Cones Mid,Teleop Cubes Mid,Teleop Cones Upper,Teleop Cubes Upper,Piece Pickup,Charge Station,Under Defense,Other Notes,Defense Rating,Defense Notes,Robot Rating,Auton Points,Teleop Points,Total Points
17,1023,Blue,Vignesh ,0,0,0,0,0,1,Docked,1,1,3,1,0,0,Double Substation,Engaged,3 - Continues to score normally,Only scored mid and sometimes missed Very wobbly when extending their gripper,0 - did not play defense,No defense,1 - does not contribute much to scoring,14,26,40
32,1023,Red,Vignesh,0,0,0,0,0,1,Engaged,1,0,4,1,0,1,Double Substation,Engaged,0 - Was not under heavy defense,Wobbly when extension ,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,18,32,50
46,1023,Blue,Mahima,0,0,0,1,0,0,Not Attempted,0,2,2,2,1,0,Double Substation,Engaged,0 - Was not under heavy defense,Quick positioning at high and mid nodes for cones a bit slow in intake at double sub,0 - did not play defense,None,2.5 - highly competitive robot,4,31,35
1,1024,Red,Arunima,0,0,0,0,1,0,Engaged,0,2,0,0,2,1,Floor,Failed,2 - Scoring impacted by defense,Intake was throwing robot off balance Jerky driving ,1 - ineffective defense,Pushed around easily by other robots and dropped game pieces often ,2 - contribute to score or elite defense,18,19,37
16,1024,Red,Sanjay,0,0,0,0,1,0,Not Attempted,0,0,2,1,1,0,Double Substation,Engaged,0 - Was not under heavy defense,took quite a while to pick up pieces moderate cycle time dropped pieces very often impeded scoring ,0 - did not play defense,no defense,2 - contribute to score or elite defense,6,24,30
36,1024,Red,Arunima,0,0,0,0,1,0,Not Attempted,1,0,1,2,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Good intake and scoring but is a little tippy when moving fast ,0 - did not play defense,None,2 - contribute to score or elite defense,6,31,37
50,1024,Blue,Sanjay,0,0,0,0,1,1,Not Attempted,0,0,2,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,good cycle time efficient scoring slightly choppy maneuvering ,0 - did not play defense,little defense,2 - contribute to score or elite defense,12,26,38
61,1024,Red,Arunima,0,0,1,0,0,0,Not Attempted,0,0,2,0,2,0,Double Substation,Failed,0 - Was not under heavy defense,Tippy while driving but overall had a smooth intake and ,0 - did not play defense,None,1.5 - not a strong scorer or defender,4,16,20
16,11,Red,Pranav ,0,0,0,0,1,0,Engaged,0,4,0,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Consistent with ok cycle time ,0 - did not play defense,,1.5 - not a strong scorer or defender,18,28,46
33,11,Red,Pranav,0,0,0,0,1,0,Not Attempted,0,0,0,0,5,0,Double Substation,Docked,0 - Was not under heavy defense,Arm sometimes takes time to adjust to be on pole probably because no limelight prefers cones,0 - did not play defense,,2.5 - highly competitive robot,6,31,37
